"id","created","approved","modified","comment","author_id","route_id"
"1","2022-04-04T16:33:11","true","2022-04-04T16:33:11","В близост до манастира се намира плажът Узун чум (Дългият плаж). Великолепно кътче, дълго около 2 км, заобиколено от гора. Заслужава си отбивката след разходката по горската пътека.","3","5"
"2","2021-06-05T15:47:35","true","2021-06-05T15:47:35","Страхотно място за разходка! Харесва ми чувството за спокойствие, което те обхваща веднага щом влезеш в гората. Правихме го с приятели и всички бяха много доволни.","4","5"
"3","2021-05-07T12:33:03","true","2021-05-07T12:33:03","Препоръчвам го с две ръце на всеки, който иска да се откъсне от забързания живот в града. Пътеката е добре маркирана и може да се мине дори от хора без опит в туризма.","1","5"
"4","2023-08-05T18:17:16","true","2023-08-05T18:17:16","Много приятно място за почивка. Хижата е уютна, персоналът е любезен. Задължително трябва да опитате домашната баница.","1","3"
"5","2023-10-05T10:09:08","true","2023-10-05T10:09:08","Хижата е добре поддържана, но трябва предварително да резервирате легла за уикенда, защото бързо се запълват. Маршрутът до тук е наистина приятен.","2","3"
"6","2023-09-05T19:18:17","true","2023-09-05T19:18:17","Една от най-приятните хижи в Родопите. Препоръчвам престой поне за една нощ — сутринта гледката от терасата е невероятна.","3","3"
"7","2023-07-05T18:20:20","false","2023-07-05T18:20:20","Минахме маршрута преди два дни. Малко пустее в делничните дни, но пък е хубаво тихо. Маркировката при кръстовището след третия километър е избледняла, внимавайте.","3","5"
"8","2023-07-05T18:20:20","false","2023-07-05T18:20:20","Прекрасен ВелоЕрул! Карах го на хардтейл и нямах никакви проблеми. Единственото затруднение беше малкото парче след село Ерул, което е доста кално след дъжд.","3","2"
"9","2023-07-05T18:20:20","false","2023-07-05T18:20:20","Маршрутът около Ерул е страхотен за семейни излети. Асфалтовите участъци са безопасни дори за деца. Минахме го с момчето ми, на 10 години, и той се справи отлично.","5","2"
"10","2023-07-05T18:20:20","false","2023-07-05T18:20:20","Бях там в началото на октомври. Гледката към Ерулска планина при залез е просто невероятна. Определено ще се върна следващото лято.","5","2"
"11","2024-02-03T12:16:28","false","2024-02-03T12:16:28","Бях там за пръв път и останах с много приятно впечатление. На живо изглежда по-красиво, отколкото на снимките. Морето и гората са в перфектна хармония.","4","5"
"12","2024-01-07T10:07:45","false","2024-01-07T10:07:45","Ако вземате колата, тръгнете рано — паркингът при кабинковия лифт до хижа Алеко се пълни бързо. От хижата до Черни връх има два маршрута: по-кратък и стръмен по писта Стената, и по-дълъг обиколен, но по-лесен. Препоръчвам второто за хора с деца.","5","3"
"13","2024-01-08T11:22:13","false","2024-01-08T11:22:13","Приблизителното време по стръмния маршрут е около 45-50 минути до върха. По обиколния — около 1 час и 15 минути. Зависи и от темпото, разбира се.","6","3"
"14","2024-02-01T10:10:22","false","2024-02-01T10:10:22","Изкачвала съм се до Черни връх по маршрута от Кумата няколко пъти. Той е приятен, минава се по широко плато с усещане за простор. Тишина, само птиците пеят. Изкачването преди самия връх е малко натоварващо, но след дългото ходене почти по равно тялото вече е загрято и се понася лесно.","6","1"
"15","2024-02-05T19:22:54","false","2024-02-05T19:22:54","Правихме маршрута с децата, когато бяха на 7 и 9 години. Справиха се без никакъв проблем — дори тичаха напред. Много добро семейно преживяване.","6","4"
"16","2024-02-03T23:52:11","false","2024-02-03T23:52:11","Задължително място за посещение. Паметникът на Шипка е обявен за един от 100-те национални туристически обекта и е символ на националното ни самосъзнание. Преходът от Етъра придава и туристическо измерение на посещението.","3","4"
"17","2020-03-04T13:33:32","true","2020-03-04T13:33:32","Какво място! Никъде другаде в България не съм виждал толкова впечатляващи и внушителни скали. Има няколко пътеки в района, много приятни в лятната жега. Покрай реката редовно камп уват катерачи, за да се насладят на уникалните отвесни стени.","9","7"
"18","2021-04-04T14:22:12","true","2021-04-04T14:22:12","Уникално природно кътче. Истински рай за хора, занимаващи се с алпийско катерене. В околностите има два красиви водопада и чудесни места за пикник. Идвам тук поне два пъти годишно.","12","7"
"19","2022-02-04T16:24:24","true","2022-02-04T16:24:24","Трябва да се види — не подлежи на описание. Скалите са величествени и оставят трайно впечатление. Водопадът в близост допълва картината перфектно.","10","7"
"20","2024-02-04T18:28:17","false","2024-02-04T18:28:17","Величествени скали, невероятна атмосфера. Усещаш се малък до тях, но по добър начин — като частица от нещо много по-голямо. Скалните маршрути са разнообразни, за всички нива на опит.","11","7"
"21","2024-02-05T14:47:47","false","2024-02-05T14:47:47","Впечатляваща природа, рай за катерачите! Горещо препоръчвам и за хора, които не се катерят — просто разходката в пролома е незабравима.","14","7"
"22","2024-02-18T15:10:02","true","2024-02-18T15:10:02","Новото трасе на ВелоЕрул минава през вековни букови гори, поля и ливади. Много разнообразно и подходящо за широк кръг колоездачи — от начинаещи до напреднали. Отлично организирана инициатива на Трънско туристическо дружество.","12","2"
